TransactionNumber,ItemNumber,Title,BulletDescription,LineDescription,WebDescription,DetailSpecification,UpdateTime,Checker,CheckDate,ManualTitle,ManualBullet,ManualLine,ManualWeb,checked,ViewDescription,IsAITItem,ProductTitle,ProductWeb,ProductName,ManualProductTitle,ManualProductWeb,ManualProductName,LastEditUser,LastEditDate,InUser,InDate,PartitionID
685252,00-JMT-001,10-840-001 Stu Testing item                                          ,                                                                               ,00-JMT-001 14-840-010 Stu Imposition Tax Testing item                                                                                       ,00-JMT-001 14-840-010 Stu Imposition Tax Testing item                                                                                       ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""General""><Property Key=""Brand"" Value=""LEXMARK""/><Property Key=""Series"" Value=""C540n""/><Property Key=""Model"" Value=""26A0000""/><Property Key=""Recommended Use"" Value=""Workgroup""/><Property Key=""Dimensions"" Value=""11.5&quot; x 16.7&quot; x 15.7&quot;""/><Property Key=""Weight"" Value=""46.2 lbs.""/></Group><Group GroupName=""Printing""><Property Key=""Output Type"" Value=""Color""/><Property Key=""Laser Technology"" Value=""Laser""/><Property Key=""Black Print Speed"" Value=""Up to 21 ppm""/><Property Key=""Color Print Speed"" Value=""Up to 21 ppm""/><Property Key=""Black Print Quality"" Value=""1200 x 1200 dpi""/><Property Key=""Color Print Quality"" Value=""1200 x 1200 dpi""/><Property Key=""Time To First Page (seconds)"" Value=""12 sec.""/><Property Key=""Print Languages& std."" Value=""PCL 5e Emulation   PCL 6 Emulation   PostScript 3 Emulation""/><Property Key=""Max. Duty Cycle"" Value=""Up to 35&000 pages monthly""/></Group><Group GroupName=""Media Handling""><Property Key=""Input Capacity& std."" Value=""250+1 pages 20 lb or 75 gsm bond""/><Property Key=""Input Capacity& max."" Value=""900+1 pages 20 lb or 75 gsm bond""/><Property Key=""Output Capacity& std."" Value=""100 pages 20 lb or 75 gsm bond""/><Property Key=""Output Capacity& max."" Value=""100 pages 20 lb or 75 gsm bond""/><Property Key=""Media Type"" Value=""Card Stock   Paper Labels   Plain Paper   Transparencies   Refer to the Card Stock &amp; Label Guide""/><Property Key=""Media sizes supported"" Value=""A4   A5   Executive   Folio   JIS-B5   Legal   Letter   Statement   Universal  O ficio""/></Group><Group GroupName=""Ports""><Property Key=""USB Ports"" Value=""Yes""/><Property Key=""Network Ports"" Value=""Ethernet 10/100BaseTX (RJ-45)""/></Group><Group GroupName=""Hardware SPEC""><Property Key=""Noise Level (Approx.)"" Value=""47 dBA""/><Property Key=""Processor(MHz)"" Value=""417""/><Property Key=""Memory& std."" Value=""128 MB""/><Property Key=""Memory& max."" Value=""640 MB""/></Group><Group GroupName=""Compatibility""><Property Key=""Windows Compatible"" Value=""Microsoft Windows 2000   Microsoft Windows XP   Microsoft Windows Server 2003   Microsoft Windows XP x64   Microsoft Windows Server 2003 running Terminal Services   Microsoft Windows 2000 Server running Terminal Services   Microsoft Windows Server 2003 x64    Microsoft Windows Server 2003 x64 running Terminal Services   Microsoft Windows Vista   Microsoft Windows Vista x64   Microsoft Windows Server 2008   Microsoft Windows Server 2008 x64   Microsoft Windows Server 2008 running Terminal Services   Microsoft Windows Server 2008 x64 running Terminal Services""/><Property Key=""Macintosh Compatible"" Value=""Apple Mac OS X   Apple Mac OS 9.x""/></Group></LongDescription>""""", 2016-03-18 16:59:57.113,lisa jia     , 2016-03-18 16:59:57.113,SanDisk Portable Player Model SDCZ4-000-A15                              ,                                                                          ,    SanDisk Portable Player Model SDCZ4-000-A15                                       ,SanDisk Portable Player Model SDCZ4-000-A15                                        ,1,<b>Features:</b> Cruzer Micro can be expanded to MP3 player functionality with the Cruzer Micro MP3 Companion. Users simply plug the Cruzer Micro into the Cruzer Micro MP3 Companion and they¡¯re ready to hear all their favorite songs<br/>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, 2016-03-18 16:59:57.113,N001
685270,00-JMT-002,10-840-001 Stu Testing item                                          ,                                                                               ,00-JMT-002 14-840-010 Stu Imposition Tax Testing item                                                                                       ,00-JMT-002 14-840-010 Stu Imposition Tax Testing item                                                                                       ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""General""><Property Key=""Brand"" Value=""LEXMARK""/><Property Key=""Series"" Value=""C540n""/><Property Key=""Model"" Value=""26A0000""/><Property Key=""Recommended Use"" Value=""Workgroup""/><Property Key=""Dimensions"" Value=""11.5&quot; x 16.7&quot; x 15.7&quot;""/><Property Key=""Weight"" Value=""46.2 lbs.""/></Group><Group GroupName=""Printing""><Property Key=""Output Type"" Value=""Color""/><Property Key=""Laser Technology"" Value=""Laser""/><Property Key=""Black Print Speed"" Value=""Up to 21 ppm""/><Property Key=""Color Print Speed"" Value=""Up to 21 ppm""/><Property Key=""Black Print Quality"" Value=""1200 x 1200 dpi""/><Property Key=""Color Print Quality"" Value=""1200 x 1200 dpi""/><Property Key=""Time To First Page (seconds)"" Value=""12 sec.""/><Property Key=""Print Languages& std."" Value=""PCL 5e Emulation   PCL 6 Emulation   PostScript 3 Emulation""/><Property Key=""Max. Duty Cycle"" Value=""Up to 35&000 pages monthly""/></Group><Group GroupName=""Media Handling""><Property Key=""Input Capacity& std."" Value=""250+1 pages 20 lb or 75 gsm bond""/><Property Key=""Input Capacity& max."" Value=""900+1 pages 20 lb or 75 gsm bond""/><Property Key=""Output Capacity& std."" Value=""100 pages 20 lb or 75 gsm bond""/><Property Key=""Output Capacity& max."" Value=""100 pages 20 lb or 75 gsm bond""/><Property Key=""Media Type"" Value=""Card Stock   Paper Labels   Plain Paper   Transparencies   Refer to the Card Stock &amp; Label Guide""/><Property Key=""Media sizes supported"" Value=""A4   A5   Executive   Folio   JIS-B5   Legal   Letter   Statement   Universal  O ficio""/></Group><Group GroupName=""Ports""><Property Key=""USB Ports"" Value=""Yes""/><Property Key=""Network Ports"" Value=""Ethernet 10/100BaseTX (RJ-45)""/></Group><Group GroupName=""Hardware SPEC""><Property Key=""Noise Level (Approx.)"" Value=""47 dBA""/><Property Key=""Processor(MHz)"" Value=""417""/><Property Key=""Memory& std."" Value=""128 MB""/><Property Key=""Memory& max."" Value=""640 MB""/></Group><Group GroupName=""Compatibility""><Property Key=""Windows Compatible"" Value=""Microsoft Windows 2000   Microsoft Windows XP   Microsoft Windows Server 2003   Microsoft Windows XP x64   Microsoft Windows Server 2003 running Terminal Services   Microsoft Windows 2000 Server running Terminal Services   Microsoft Windows Server 2003 x64    Microsoft Windows Server 2003 x64 running Terminal Services   Microsoft Windows Vista   Microsoft Windows Vista x64   Microsoft Windows Server 2008   Microsoft Windows Server 2008 x64   Microsoft Windows Server 2008 running Terminal Services   Microsoft Windows Server 2008 x64 running Terminal Services""/><Property Key=""Macintosh Compatible"" Value=""Apple Mac OS X   Apple Mac OS 9.x""/></Group></LongDescription>""""", 2016-03-18 16:59:57.113,lisa jia     , 2016-03-18 16:59:57.113,SanDisk Portable Player Model SDCZ4-000-A15                              ,                                                                          ,    SanDisk Portable Player Model SDCZ4-000-A15                                       ,SanDisk Portable Player Model SDCZ4-000-A15                                        ,1,<b>Features:</b> Cruzer Micro can be expanded to MP3 player functionality with the Cruzer Micro MP3 Companion. Users simply plug the Cruzer Micro into the Cruzer Micro MP3 Companion and they¡¯re ready to hear all their favorite songs<br/>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, 2016-03-18 16:59:57.113,N001
685279,00-JMT-003,10-840-001 Stu Testing item                                          ,                                                                               ,00-JMT-003 14-840-010 Stu Imposition Tax Testing item                                                                                       ,00-JMT-003 14-840-010 Stu Imposition Tax Testing item                                                                                       ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""General""><Property Key=""Brand"" Value=""LEXMARK""/><Property Key=""Series"" Value=""C540n""/><Property Key=""Model"" Value=""26A0000""/><Property Key=""Recommended Use"" Value=""Workgroup""/><Property Key=""Dimensions"" Value=""11.5&quot; x 16.7&quot; x 15.7&quot;""/><Property Key=""Weight"" Value=""46.2 lbs.""/></Group><Group GroupName=""Printing""><Property Key=""Output Type"" Value=""Color""/><Property Key=""Laser Technology"" Value=""Laser""/><Property Key=""Black Print Speed"" Value=""Up to 21 ppm""/><Property Key=""Color Print Speed"" Value=""Up to 21 ppm""/><Property Key=""Black Print Quality"" Value=""1200 x 1200 dpi""/><Property Key=""Color Print Quality"" Value=""1200 x 1200 dpi""/><Property Key=""Time To First Page (seconds)"" Value=""12 sec.""/><Property Key=""Print Languages& std."" Value=""PCL 5e Emulation   PCL 6 Emulation   PostScript 3 Emulation""/><Property Key=""Max. Duty Cycle"" Value=""Up to 35&000 pages monthly""/></Group><Group GroupName=""Media Handling""><Property Key=""Input Capacity& std."" Value=""250+1 pages 20 lb or 75 gsm bond""/><Property Key=""Input Capacity& max."" Value=""900+1 pages 20 lb or 75 gsm bond""/><Property Key=""Output Capacity& std."" Value=""100 pages 20 lb or 75 gsm bond""/><Property Key=""Output Capacity& max."" Value=""100 pages 20 lb or 75 gsm bond""/><Property Key=""Media Type"" Value=""Card Stock   Paper Labels   Plain Paper   Transparencies   Refer to the Card Stock &amp; Label Guide""/><Property Key=""Media sizes supported"" Value=""A4   A5   Executive   Folio   JIS-B5   Legal   Letter   Statement   Universal  O ficio""/></Group><Group GroupName=""Ports""><Property Key=""USB Ports"" Value=""Yes""/><Property Key=""Network Ports"" Value=""Ethernet 10/100BaseTX (RJ-45)""/></Group><Group GroupName=""Hardware SPEC""><Property Key=""Noise Level (Approx.)"" Value=""47 dBA""/><Property Key=""Processor(MHz)"" Value=""417""/><Property Key=""Memory& std."" Value=""128 MB""/><Property Key=""Memory& max."" Value=""640 MB""/></Group><Group GroupName=""Compatibility""><Property Key=""Windows Compatible"" Value=""Microsoft Windows 2000   Microsoft Windows XP   Microsoft Windows Server 2003   Microsoft Windows XP x64   Microsoft Windows Server 2003 running Terminal Services   Microsoft Windows 2000 Server running Terminal Services   Microsoft Windows Server 2003 x64    Microsoft Windows Server 2003 x64 running Terminal Services   Microsoft Windows Vista   Microsoft Windows Vista x64   Microsoft Windows Server 2008   Microsoft Windows Server 2008 x64   Microsoft Windows Server 2008 running Terminal Services   Microsoft Windows Server 2008 x64 running Terminal Services""/><Property Key=""Macintosh Compatible"" Value=""Apple Mac OS X   Apple Mac OS 9.x""/></Group></LongDescription>""""", 2016-03-18 16:59:57.113,lisa jia     , 2016-03-18 16:59:57.113,SanDisk Portable Player Model SDCZ4-000-A15                              ,                                                                          ,    SanDisk Portable Player Model SDCZ4-000-A15                                       ,SanDisk Portable Player Model SDCZ4-000-A15                                        ,1,<b>Features:</b> Cruzer Micro can be expanded to MP3 player functionality with the Cruzer Micro MP3 Companion. Users simply plug the Cruzer Micro into the Cruzer Micro MP3 Companion and they¡¯re ready to hear all their favorite songs<br/>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, 2016-03-18 16:59:57.113,N001
702742,00-JMT-051,Flash Test Item Abou title                                           ,Steel Server   USB& Audio& IEEE1394 Front Ports   420W Power Supply 2 80mm Fans,00-JMT-051                                                                 Flash Test Item Abou LineDescription                             ,00-JMT-051                                                                 Flash Test Item Abou WebDescription                              ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""Model""><Property Key=""Brand"" Value=""ASPIRE""/><Property Key=""Series"" Value=""X-Alien""/><Property Key=""Model"" Value=""ATXA1AW-BK/420""/></Group><Group GroupName=""Spec""><Property Key=""Type"" Value=""Server""/><Property Key=""Color"" Value=""Black""/><Property Key=""Case Material"" Value=""Steel""/><Property Key=""Power Supply"" Value=""420W""/><Property Key=""Motherboard Compatibility"" Value=""ATX""/><Property Key=""With Side Panel Window"" Value=""Yes""/></Group><Group GroupName=""Expansion""><Property Key=""External 5.25&quot; Drive Bays"" Value=""5""/><Property Key=""External 3.5&quot; Drive Bays"" Value=""2""/><Property Key=""Internal 3.5&quot; Drive Bays"" Value=""5""/><Property Key=""Expansion Slots"" Value=""7""/></Group><Group GroupName=""Front Ports""><Property Key=""Front Ports"" Value=""USB& Audio& IEEE1394""/></Group><Group GroupName=""Cooling System""><Property Key=""80mm Fans"" Value=""2""/><Property Key=""Air duct"" Value=""No""/></Group><Group GroupName=""Physical Spec""><Property Key=""Dimensions"" Value=""18.6&quot; x 8&quot; x 20.5&quot;""/></Group></LongDescription> """"", 2016-03-18 16:59:57.113,             , 2016-03-18 16:59:57.113,ASPIRE X-Alien ATXA1AW-BK/420 Black Computer Case With Side Panel Window ,Steel Server   USB& Audio& IEEE1394 Front Ports   420W Power              ,    ASPIRE X-Alien ATXA1AW-BK/420 Black Steel Server Computer Case 420W Power Supply  ,ASPIRE X-Alien ATXA1AW-BK/420 Black Steel Server Computer Case 420W Power Supply   ,1,"<b>80mm Fans:</b> 2<br/><b>Air duct:</b> No<br/><b>Dimensions:</b> 18.6"" x 8"" x 20.5""<br/><b>Expansion Slots:</b> 7<br/><b>External 3.5"" Drive Bays:</b> 2<br/><b>External 5.25"" Drive Bays:</b> 5<br/><b>Front Ports:</b> USB£¬ Audio£¬ IEEE1394<br/><b>Internal 3.5"" Drive Bays:</b> 5<br/><b>Motherboard Compatibility:</b> ATX<br/><b>With Side Panel Window:</b> Yes<br                                                                                                                                                                                                                                                                                                                                                                                                                                                                             """"",0,NULL,NULL,NULL,NULL,NULL,NULL,al8j, 2016-03-18 16:59:57.113,al8j , 2016-03-18 16:59:57.113,N001
686632,06-LCL-100,Microsoft MCSE Windows XP Professional Readiness REVIEW; Exam 70-270 ,                                                                               ,06-LCL-100                    Anna Test Split Order For AUS Local VF                                                                        ,06-LCL-100 Microsoft                                Microsoft MCSE Windows XP Professional Readiness REVIEW; Exam 70-270                    ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""Model""><Property Key=""Brand"" Value=""Microsoft""/><Property Key=""Model"" Value=""0-7356-1460-1""/></Group><Group GroupName=""Features""><Property Key=""Features"" Value=""If you took Microsoft Certified Professional (MCP) Exam 70-270 today& would you pass? With the READINESS REVIEW MCP exam simulation on CD-ROM& you get a low-risk& low-cost way to find out! This next-generation test engine delivers randomly generated& 50-question practice exams covering real MCP objectives. You can test and retest with different question sets each time-and with automated scoring& you get immediate Pass/Fail feedback.""/></Group></LongDescription> """"", 2016-03-18 16:59:57.113,             , 2016-03-18 16:59:57.113,Microsoft 0-7356-1460-1 MCSE Windows XP Professional Readiness REVIEW    ,                                                                          ,    Microsoft 0-7356-1460-1 MCSE Windows XP Professional Readiness REVIEW             ,Microsoft 0-7356-1460-1 MCSE Windows XP Professional Readiness REVIEW              ,1,<b>Features:</b> If you took Microsoft Certified Professional (MCP) Exam 70-270 today£¬ would you pass? With the READINESS REVIEW MCP exam simulation on CD-ROM£¬ you get a low-risk£¬ low-cost way to find out! This next-generation test engine delivers randomly generated£¬ 50-question practice exams covering real MCP objectives. You can test and retest <br/>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, 2016-03-18 16:59:57.113,N001
686788,06-LCL-200,IN WIN S523T.I300BFU2D(1.3V) Black Computer Case                     ,Steel ATX Mid Tower USB Front Ports 300W Power Supply 1 80mm Fans Air duct     ,06-LCL-200                    Anna Test Split Order For AUS Local OPC                                                                       ,06-LCL-200 NeweggFlash Test Data 11-108-319                                                                                                 ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""Model""><Property Key=""Brand"" Value=""IN WIN""/><Property Key=""Model"" Value=""S523T.I300BFU2D(1.3V)""/></Group><Group GroupName=""Spec""><Property Key=""Type"" Value=""ATX Mid Tower""/><Property Key=""Color"" Value=""Black""/><Property Key=""Case Material"" Value=""Steel""/><Property Key=""Power Supply"" Value=""300W""/><Property Key=""Motherboard Compatibility"" Value=""ATX""/><Property Key=""With Side Panel Window"" Value=""No""/></Group><Group GroupName=""Expansion""><Property Key=""External 5.25&quot; Drive Bays"" Value=""3""/><Property Key=""External 3.5&quot; Drive Bays"" Value=""2""/><Property Key=""Internal 3.5&quot; Drive Bays"" Value=""2""/><Property Key=""Expansion Slots"" Value=""7""/></Group><Group GroupName=""Front Ports""><Property Key=""Front Ports"" Value=""USB""/></Group><Group GroupName=""Cooling System""><Property Key=""80mm Fans"" Value=""1""/><Property Key=""Air duct"" Value=""Yes""/></Group><Group GroupName=""Physical Spec""><Property Key=""Dimensions"" Value=""16.6&quot; x 7.8 x 18.7&quot;(HxWxD)""/></Group></LongDescription>                                        """"", 2016-03-18 16:59:57.113,             , 2016-03-18 16:59:57.113,IN WIN S523T.I300BFU2D(1.3V) Black Computer Case                         ,Steel ATX Mid Tower USB Front Ports 300W Power Supply 1 80mm Fans Air duct,IN WIN S523T.I300BFU2D(1.3V) Black Steel ATX Mid Tower Computer Case 300W Power Supply,IN WIN S523T.I300BFU2D(1.3V) Black Steel ATX Mid Tower Computer Case 300W Power Sup,1,"<b>80mm Fans:</b> 1<br/><b>Air duct:</b> Yes<br/><b>Dimensions:</b> 16.6"" x 7.8 x 18.7""(HxWxD)<br/><b>Expansion Slots:</b> 7<br/><b>External 3.5"" Drive Bays:</b> 2<br/><b>External 5.25"" Drive Bays:</b> 3<br/><b>Front Ports:</b> USB<br/><b>Internal 3.5"" Drive Bays:</b> 2<br/><b>Motherboard Compatibility:</b> ATX<br/><b>With Side Panel Window:</b> No<br/>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    """"",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, 2016-03-18 16:59:57.113,N001
687043,06-LCL-400,Flash Test Item Abou title                                           ,Steel Server   USB& Audio& IEEE1394 Front Ports   420W Power Supply 2 80mm Fans,06-LCL-400       Flash Test Item Abou LineDescription                                                                                       ,06-LCL-400                                                  Flash Test Item Abou WebDescription                                             ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""Model""><Property Key=""Brand"" Value=""ASPIRE""/><Property Key=""Series"" Value=""X-Alien""/><Property Key=""Model"" Value=""ATXA1AW-BK/420""/></Group><Group GroupName=""Spec""><Property Key=""Type"" Value=""Server""/><Property Key=""Color"" Value=""Black""/><Property Key=""Case Material"" Value=""Steel""/><Property Key=""Power Supply"" Value=""420W""/><Property Key=""Motherboard Compatibility"" Value=""ATX""/><Property Key=""With Side Panel Window"" Value=""Yes""/></Group><Group GroupName=""Expansion""><Property Key=""External 5.25&quot; Drive Bays"" Value=""5""/><Property Key=""External 3.5&quot; Drive Bays"" Value=""2""/><Property Key=""Internal 3.5&quot; Drive Bays"" Value=""5""/><Property Key=""Expansion Slots"" Value=""7""/></Group><Group GroupName=""Front Ports""><Property Key=""Front Ports"" Value=""USB& Audio& IEEE1394""/></Group><Group GroupName=""Cooling System""><Property Key=""80mm Fans"" Value=""2""/><Property Key=""Air duct"" Value=""No""/></Group><Group GroupName=""Physical Spec""><Property Key=""Dimensions"" Value=""18.6&quot; x 8&quot; x 20.5&quot;""/></Group></LongDescription>""""", 2016-03-18 16:59:57.113,             , 2016-03-18 16:59:57.113,ASPIRE X-Alien ATXA1AW-BK/420 Black Computer Case With Side Panel Window ,Steel Server   USB& Audio& IEEE1394 Front Ports   420W Power              ,    ASPIRE X-Alien ATXA1AW-BK/420 Black Steel Server Computer Case 420W Power Supply  ,ASPIRE X-Alien ATXA1AW-BK/420 Black Steel Server Computer Case 420W Power Supply   ,1,"<b>80mm Fans:</b> 2<br/><b>Air duct:</b> No<br/><b>Dimensions:</b> 18.6"" x 8"" x 20.5""<br/><b>Expansion Slots:</b> 7<br/><b>External 3.5"" Drive Bays:</b> 2<br/><b>External 5.25"" Drive Bays:</b> 5<br/><b>Front Ports:</b> USB£¬ Audio£¬ IEEE1394<br/><b>Internal 3.5"" Drive Bays:</b> 5<br/><b>Motherboard Compatibility:</b> ATX<br/><b>With Side Panel Window:</b> Yes<br                                                                                                                                                                                                                                                                                                                                                                                                                                                                             """"",0,NULL,NULL,NULL,NULL,NULL,NULL,Jenifer , 2016-03-18 16:59:57.113,NULL, 2016-03-18 16:59:57.113,N001
687367,06-LCL-401,American Standard 2175.502.002 Colony Single Control Lavatory Faucet ,                                                                               ,06-LCL-401                    Anna Test Split Order For AUS Remote OPC                                                                      ,06-LCL-401 06-LCL-400 01-153-T99 58-NOR-204 American Standard 2175.502.002 Colony Single Control Lavatory Faucet                            ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""Model""><Property Key=""Brand"" Value=""SanDisk""/><Property Key=""Model"" Value=""SDCZ4-000-A15""/></Group><Group GroupName=""Features""><Property Key=""Features"" Value=""Cruzer Micro can be expanded to MP3 player functionality with the Cruzer Micro MP3 Companion. Users simply plug the Cruzer Micro into the Cruzer Micro MP3 Companion and they¡¯re ready to hear all their favorite songs""/></Group></LongDescription>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       """"", 2016-03-18 16:59:57.113,lisa jia     , 2016-03-18 16:59:57.113,SanDisk Portable Player Model SDCZ4-000-A15                              ,                                                                          ,    SanDisk Portable Player Model SDCZ4-000-A15                                       ,SanDisk Portable Player Model SDCZ4-000-A15                                        ,1,<b>Features:</b> Cruzer Micro can be expanded to MP3 player functionality with the Cruzer Micro MP3 Companion. Users simply plug the Cruzer Micro into the Cruzer Micro MP3 Companion and they¡¯re ready to hear all their favorite songs<br/>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, 2016-03-18 16:59:57.113,N001
688588,07-LCL-101,Flash Test Item Abou title                                           ,Steel Server   USB& Audio& IEEE1394 Front Ports   420W Power Supply 2 80mm Fans,07-LCL-101                    Anna Test Split Order For AUS VF NISP                                                                         ,07-LCL-101                                                                 Flash Test Item Abou WebDescription                              ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""Model""><Property Key=""Brand"" Value=""ASPIRE""/><Property Key=""Series"" Value=""X-Alien""/><Property Key=""Model"" Value=""ATXA1AW-BK/420""/></Group><Group GroupName=""Spec""><Property Key=""Type"" Value=""Server""/><Property Key=""Color"" Value=""Black""/><Property Key=""Case Material"" Value=""Steel""/><Property Key=""Power Supply"" Value=""420W""/><Property Key=""Motherboard Compatibility"" Value=""ATX""/><Property Key=""With Side Panel Window"" Value=""Yes""/></Group><Group GroupName=""Expansion""><Property Key=""External 5.25&quot; Drive Bays"" Value=""5""/><Property Key=""External 3.5&quot; Drive Bays"" Value=""2""/><Property Key=""Internal 3.5&quot; Drive Bays"" Value=""5""/><Property Key=""Expansion Slots"" Value=""7""/></Group><Group GroupName=""Front Ports""><Property Key=""Front Ports"" Value=""USB& Audio& IEEE1394""/></Group><Group GroupName=""Cooling System""><Property Key=""80mm Fans"" Value=""2""/><Property Key=""Air duct"" Value=""No""/></Group><Group GroupName=""Physical Spec""><Property Key=""Dimensions"" Value=""18.6&quot; x 8&quot; x 20.5&quot;""/></Group></LongDescription>""""", 2016-03-18 16:59:57.113,             , 2016-03-18 16:59:57.113,ASPIRE X-Alien ATXA1AW-BK/420 Black Computer Case With Side Panel Window ,Steel Server   USB& Audio& IEEE1394 Front Ports   420W Power              ,    ASPIRE X-Alien ATXA1AW-BK/420 Black Steel Server Computer Case 420W Power Supply  ,ASPIRE X-Alien ATXA1AW-BK/420 Black Steel Server Computer Case 420W Power Supply   ,1,"<b>80mm Fans:</b> 2<br/><b>Air duct:</b> No<br/><b>Dimensions:</b> 18.6"" x 8"" x 20.5""<br/><b>Expansion Slots:</b> 7<br/><b>External 3.5"" Drive Bays:</b> 2<br/><b>External 5.25"" Drive Bays:</b> 5<br/><b>Front Ports:</b> USB£¬ Audio£¬ IEEE1394<br/><b>Internal 3.5"" Drive Bays:</b> 5<br/><b>Motherboard Compatibility:</b> ATX<br/><b>With Side Panel Window:</b> Yes<br                                                                                                                                                                                                                                                                                                                                                                                                                                                                             """"",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, 2016-03-18 16:59:57.113,N001
690394,08-LCL-100,Flash Test Item Abou title                                           ,Steel Server   USB& Audio& IEEE1394 Front Ports   420W Power Supply 2 80mm Fans,08-LCL-100                                                                 Flash Test Item Abou WebDescription                              ,08-LCL-100                                                                 Flash Test Item Abou WebDescription                              ,"<LongDescription Name=""Detailed Specifications""><Group GroupName=""Model""><Property Key=""Brand"" Value=""ASPIRE""/><Property Key=""Series"" Value=""X-Alien""/><Property Key=""Model"" Value=""ATXA1AW-BK/420""/></Group><Group GroupName=""Spec""><Property Key=""Type"" Value=""Server""/><Property Key=""Color"" Value=""Black""/><Property Key=""Case Material"" Value=""Steel""/><Property Key=""Power Supply"" Value=""420W""/><Property Key=""Motherboard Compatibility"" Value=""ATX""/><Property Key=""With Side Panel Window"" Value=""Yes""/></Group><Group GroupName=""Expansion""><Property Key=""External 5.25&quot; Drive Bays"" Value=""5""/><Property Key=""External 3.5&quot; Drive Bays"" Value=""2""/><Property Key=""Internal 3.5&quot; Drive Bays"" Value=""5""/><Property Key=""Expansion Slots"" Value=""7""/></Group><Group GroupName=""Front Ports""><Property Key=""Front Ports"" Value=""USB& Audio& IEEE1394""/></Group><Group GroupName=""Cooling System""><Property Key=""80mm Fans"" Value=""2""/><Property Key=""Air duct"" Value=""No""/></Group><Group GroupName=""Physical Spec""><Property Key=""Dimensions"" Value=""18.6&quot; x 8&quot; x 20.5&quot;""/></Group></LongDescription>""""", 2016-03-18 16:59:57.113,             , 2016-03-18 16:59:57.113,ASPIRE X-Alien ATXA1AW-BK/420 Black Computer Case With Side Panel Window ,Steel Server   USB& Audio& IEEE1394 Front Ports   420W Power              ,    ASPIRE X-Alien ATXA1AW-BK/420 Black Steel Server Computer Case 420W Power Supply  ,ASPIRE X-Alien ATXA1AW-BK/420 Black Steel Server Computer Case 420W Power Supply   ,1,"<b>80mm Fans:</b> 2<br/><b>Air duct:</b> No<br/><b>Dimensions:</b> 18.6"" x 8"" x 20.5""<br/><b>Expansion Slots:</b> 7<br/><b>External 3.5"" Drive Bays:</b> 2<br/><b>External 5.25"" Drive Bays:</b> 5<br/><b>Front Ports:</b> USB£¬ Audio£¬ IEEE1394<br/><b>Internal 3.5"" Drive Bays:</b> 5<br/><b>Motherboard Compatibility:</b> ATX<br/><b>With Side Panel Window:</b> Yes<br                                                                                                                                                                                                                                                                                                                                                                                                                                                                             """"",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, 2016-03-18 16:59:57.113,N001
